ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
0,spleen,0.6336583067016944,8,0.0740829346092504,0.0740829346092504,0.06305144563594407,0.06346061889473324,0.06376334122653489,0.06493324945830713,0.0657001414427157,0.0740829346092504,0.0740829346092504,0.0740829346092504,0.0740829346092504,0.0740829346092504,0.0740829346092504
1,rk,0.8001919842674152,8,0.06077234940005733,0.06020772476468679,0.04576574353913526,0.04594854011208471,0.04691155086299551,0.050643278845169434,0.058704853831243325,0.06077234940005733,0.06020772476468679,0.06020772476468679,0.06020772476468679,0.059069378657007524,0.059069378657007524
2,lk,0.7477829255211894,8,0.05438531864304611,0.03987330894448673,0.039870372188942356,0.039985227132832694,0.044604356065807906,0.0483837330552659,0.04990933956175666,0.05438531864304611,0.03987330894448673,0.03987330894448673,0.03987330894448673,0.03987330894448673,0.03987330894448673
3,liver,0.761780672152579,0,0.019238574559623346,0.018104732439555404,0.019238574559623346,0.018469451371571074,0.01831671690238813,0.018447886666147738,0.018223760092272202,0.0181957773512476,0.018104732439555404,0.018104732439555404,0.018104732439555404,0.018104732439555404,0.018104732439555404
4,pancreas,0.8528402828556114,4,0.09032428621783574,0.06366459627329192,0.06301487765892044,0.0628718640740968,0.06283332311653282,0.09032428621783574,0.06294908800589571,0.06388282954191336,0.06366459627329192,0.06366459627329192,0.06366459627329192,0.06366459627329192,0.06366459627329192
5,spleen,0.722412111551787,1,0.8878634056299031,0.06701084508506289,0.7739340305711987,0.8878634056299031,0.07973613687899402,0.08233641278896504,0.08172406507500528,0.06743140057878037,0.06701084508506289,0.06701084508506289,0.06701084508506289,0.06701084508506289,0.06701084508506289
6,rk,0.7585242918916903,0,0.04837307217061004,0.04834431028174167,0.04837307217061004,0.04826263640929638,0.04826263640929638,0.04828578607158356,0.04834431028174167,0.04834431028174167,0.04834431028174167,0.04834431028174167,0.04834431028174167,0.04834431028174167,0.04834431028174167
7,lk,0.7302418212545483,0,0.8582834331337326,0.07919424041887863,0.8582834331337326,0.07948615014050582,0.08015604298542617,0.08063083074189249,0.08071748878923767,0.08074142724745134,0.07919424041887863,0.07919424041887863,0.07919424041887863,0.07919424041887863,0.07919424041887863
8,liver,0.7373430499467488,10,0.21763826606875933,0.21763826606875933,0.06120733142761056,0.06702676160078566,0.07371405427298501,0.07961214595560091,0.15695292849443046,0.17982708933717578,0.21763826606875933,0.21763826606875933,0.21763826606875933,0.21763826606875933,0.21763826606875933
9,pancreas,0.8131662402530273,1,0.030194522403948515,0.024568863690054336,0.024678663239074552,0.030194522403948515,0.030194522403948515,0.030194522403948515,0.02763507528786537,0.02922990444069702,0.024568863690054336,0.024568863690054336,0.024568863690054336,0.024568863690054336,0.024568863690054336
