fold,organ,setting,ep,a_score,adaptive_budget,uni_dice_0,ada_dice_0,uni_hd95_0,ada_hd95_0,uni_empty_0,ada_empty_0,uni_dice_1,ada_dice_1,uni_hd95_1,ada_hd95_1,uni_empty_1,ada_empty_1,uni_dice_2,ada_dice_2,uni_hd95_2,ada_hd95_2,uni_empty_2,ada_empty_2,uni_dice_3,ada_dice_3,uni_hd95_3,ada_hd95_3,uni_empty_3,ada_empty_3,uni_dice_4,ada_dice_4,uni_hd95_4,ada_hd95_4,uni_empty_4,ada_empty_4,uni_dice_6,ada_dice_6,uni_hd95_6,ada_hd95_6,uni_empty_6,ada_empty_6,uni_dice_8,ada_dice_8,uni_hd95_8,ada_hd95_8,uni_empty_8,ada_empty_8,uni_dice_10,ada_dice_10,uni_hd95_10,ada_hd95_10,uni_empty_10,ada_empty_10,uni_dice_12,ada_dice_12,uni_hd95_12,ada_hd95_12,uni_empty_12,ada_empty_12,uni_dice_16,ada_dice_16,uni_hd95_16,ada_hd95_16,uni_empty_16,ada_empty_16,uni_dice_20,ada_dice_20,uni_hd95_20,ada_hd95_20,uni_empty_20,ada_empty_20,uni_dice_24,ada_dice_24,uni_hd95_24,ada_hd95_24,uni_empty_24,ada_empty_24
0,spleen,I,0,0.7628191111943943,3,0.1304479812654495,0.1304479812654495,133.2216198670471,133.2216198670471,0,0,0.1527058584627881,0.14653870512008574,133.85439100281633,135.61043247662073,0,0,0.16502084704849682,0.16027280477408354,127.56978470056073,132.96032662633215,0,0,0.16502084704849682,0.24989615352662622,127.56978470056073,110.37843956679978,0,0,0.1692550078775602,0.24989615352662622,124.36920125458322,110.37843956679978,0,0,0.17020313472528717,0.24989615352662622,125.55397153857292,110.37843956679978,0,0,0.17020313472528717,0.24989615352662622,125.55397153857292,110.37843956679978,0,0,0.1834705702958219,0.24989615352662622,120.66894478004875,110.37843956679978,0,0,0.1834705702958219,0.24989615352662622,120.66894478004875,110.37843956679978,0,0,0.1834705702958219,0.24989615352662622,120.66894478004875,110.37843956679978,0,0,0.1834705702958219,0.24989615352662622,120.66894478004875,110.37843956679978,0,0,0.1834705702958219,0.24989615352662622,120.66894478004875,110.37843956679978,0,0
0,spleen,I,1,0.5869197,5,0.8629637572378297,0.8629637572378297,32.202484376209235,32.202484376209235,0,0,0.2752549286199864,0.8738013887358096,100.04498987955368,25.148210478624513,0,0,0.27609014353414474,0.8395,99.96374302850332,15.231546211727817,0,0,0.27609014353414474,0.8374786156073167,99.96374302850332,16.278820596099706,0,0,0.27609014353414474,0.606136956717358,99.96374302850332,70.02856560004639,0,0,0.28076136324238116,0.6071857393553154,99.20785739989795,66.60442346456631,0,0,0.2773572627324725,0.6071857393553154,99.68299562677318,66.60442346456631,0,0,0.27008638228329385,0.6071857393553154,101.68972026637545,66.60442346456631,0,0,0.27008638228329385,0.6071857393553154,101.68972026637545,66.60442346456631,0,0,0.27008638228329385,0.6071857393553154,101.68972026637545,66.60442346456631,0,0,0.27008638228329385,0.6071857393553154,101.68972026637545,66.60442346456631,0,0,0.27008638228329385,0.6071857393553154,101.68972026637545,66.60442346456631,0,0
0,spleen,I,2,0.5877397827006028,4,0.5416951937559907,0.5416951937559907,35.776940413902686,35.776940413902686,0,0,0.5501321095814212,0.3819270129368604,31.51417235267633,96.85555375574933,0,0,0.402441505595117,0.2371418295168445,91.43932189801663,114.75626344561765,0,0,0.4166842216136507,0.3478107965535432,94.1065523774022,103.9427727065116,0,0,0.4242814242814243,0.3359945642942076,93.37075698704196,103.0970416646375,0,0,0.39327965006461874,0.3359945642942076,92.01892861078835,103.0970416646375,0,0,0.3779497468233496,0.3359945642942076,91.27376371820942,103.0970416646375,0,0,0.16583525466359253,0.3359945642942076,135.95366695553483,103.0970416646375,0,0,0.16583525466359253,0.3359945642942076,135.95366695553483,103.0970416646375,0,0,0.16583525466359253,0.3359945642942076,135.95366695553483,103.0970416646375,0,0,0.16143644154254233,0.3359945642942076,135.15398617981222,103.0970416646375,0,0,0.16143644154254233,0.3359945642942076,135.15398617981222,103.0970416646375,0,0
0,spleen,I,3,0.6180845572876016,3,0.8920099875156055,0.8920099875156055,8.06225774829855,8.06225774829855,0,0,0.8875776397515528,0.8891656288916563,8.246211251235321,8.145036824620094,0,0,0.8886123210952085,0.8850325379609545,8.246211251235321,9.0,0,0,0.8902058640049907,0.873015873015873,8.54400374531753,9.848857801796104,0,0,0.8328974135425748,0.873015873015873,8.963776741499455,9.848857801796104,0,0,0.1814735245798054,0.873015873015873,110.47013075207056,9.848857801796104,0,0,0.18033404495793043,0.873015873015873,109.92678337224295,9.848857801796104,0,0,0.14349955031477965,0.873015873015873,130.78226179417453,9.848857801796104,0,0,0.14349955031477965,0.873015873015873,130.78226179417453,9.848857801796104,0,0,0.22950295668850887,0.873015873015873,110.64515210734358,9.848857801796104,0,0,0.2511148028329107,0.873015873015873,111.63601448618054,9.848857801796104,0,0,0.2511148028329107,0.873015873015873,111.63601448618054,9.848857801796104,0,0
0,spleen,I,4,0.89291567,7,0.09729078868151717,0.09729078868151717,146.7458686782709,146.7458686782709,0,0,0.09015509353962882,0.11929720950834194,150.22216847487564,138.10430782807194,0,0,0.09470969758537157,0.11774992713494609,146.36818630831834,130.59689882680573,0,0,0.09795522508688273,0.15091520358610386,146.49402709254565,126.27905224885781,0,0,0.0911209683482445,0.18043769539973203,144.92998306202466,121.84682992384808,0,0,0.09485423596165134,0.22857142857142856,145.26819948522873,120.25472738192921,0,0,0.09609133433758821,0.2654983570646221,142.12670403551894,114.5294721894762,0,0,0.0753309714711915,0.2654983570646221,154.55500617981718,114.5294721894762,0,0,0.0753309714711915,0.2654983570646221,154.55500617981718,114.5294721894762,0,0,0.0753309714711915,0.2654983570646221,154.55500617981718,114.5294721894762,0,0,0.0753309714711915,0.2654983570646221,154.55500617981718,114.5294721894762,0,0,0.0753309714711915,0.2654983570646221,154.55500617981718,114.5294721894762,0,0
0,spleen,I,5,0.7476719918689025,4,0.101589690527702,0.101589690527702,150.82506297087923,150.82506297087923,0,0,0.1026811180832858,0.1010573594086273,149.99531605360335,152.0690623688123,0,0,0.1021920832676234,0.10458022659049095,150.99072789588848,148.4560472880811,0,0,0.10716766447259617,0.1640838650865998,150.1099502405904,121.0,0,0,0.11091712026291466,0.20342814089282352,147.58980293023438,104.70649391933773,0,0,0.10780236233571786,0.20342814089282352,145.6770397521369,104.70649391933773,0,0,0.13078227173649795,0.20342814089282352,145.5901753136336,104.70649391933773,0,0,0.1537147736976943,0.20342814089282352,135.16138494515485,104.70649391933773,0,0,0.1537147736976943,0.20342814089282352,135.16138494515485,104.70649391933773,0,0,0.1537147736976943,0.20342814089282352,135.16138494515485,104.70649391933773,0,0,0.1537147736976943,0.20342814089282352,135.16138494515485,104.70649391933773,0,0,0.1537147736976943,0.20342814089282352,135.16138494515485,104.70649391933773,0,0
0,spleen,I,6,0.903027,5,0.06328215141563859,0.06328215141563859,146.6614885396623,146.6614885396623,0,0,0.0638402650311143,0.06351044403865853,145.78683057769462,146.11775941994856,0,0,0.06775634324812316,0.0721696442127638,144.55587146702914,144.13309676661268,0,0,0.07291879730006136,0.07898964161081261,144.25358973944762,139.4922885766978,0,0,0.07903342016294408,0.1410066251359636,129.03274776692803,86.54041363127547,0,0,0.08049221043124859,0.1062672330277964,129.07672052519317,125.29804458596767,0,0,0.09259139016946952,0.1062672330277964,126.11661251487963,125.29804458596767,0,0,0.06351610173266224,0.1062672330277964,146.0938030411285,125.29804458596767,0,0,0.06351610173266224,0.1062672330277964,146.0938030411285,125.29804458596767,0,0,0.06351610173266224,0.1062672330277964,146.0938030411285,125.29804458596767,0,0,0.06351610173266224,0.1062672330277964,146.0938030411285,125.29804458596767,0,0,0.06351610173266224,0.1062672330277964,146.0938030411285,125.29804458596767,0,0
0,spleen,I,7,0.7214079590183361,5,0.11484653313515937,0.11484653313515937,165.5113274285611,165.5113274285611,0,0,0.11539373251789693,0.11532812129827055,164.6464392174505,164.72598362378383,0,0,0.16620574277032332,0.11697424067666282,144.62295686224778,161.89688073581928,0,0,0.16620574277032332,0.2700393853663949,144.62295686224778,114.71180517878257,0,0,0.16620574277032332,0.32212811011116993,144.62295686224778,70.25773974120571,0,0,0.1897042204122988,0.20668280049250626,136.0523791629592,136.79181247398043,0,0,0.11813813522302577,0.20668280049250626,161.4465855941215,136.79181247398043,0,0,0.1295990628827006,0.20668280049250626,154.83780877865897,136.79181247398043,0,0,0.1295990628827006,0.20668280049250626,154.83780877865897,136.79181247398043,0,0,0.1295990628827006,0.20668280049250626,154.83780877865897,136.79181247398043,0,0,0.1295990628827006,0.20668280049250626,154.83780877865897,136.79181247398043,0,0,0.1295990628827006,0.20668280049250626,154.83780877865897,136.79181247398043,0,0
0,spleen,I,8,0.88451844,4,0.051881516758667964,0.051881516758667964,133.70713824195198,133.70713824195198,0,0,0.05216003482172005,0.05637668091112244,133.33940991067473,129.0943391184881,0,0,0.052525842860795556,0.06373265966405177,132.90710783653725,123.78426075608985,0,0,0.05307448143500406,0.096750319585548,132.20721736447584,110.1262900382817,0,0,0.05420278929513758,0.18299821837617714,130.83195328359201,75.27682016388121,0,0,0.05634133918426517,0.18299821837617714,127.15049963149517,75.27682016388121,0,0,0.05588155286985583,0.18299821837617714,128.09664069517058,75.27682016388121,0,0,0.051761995608509415,0.18299821837617714,133.76565210459376,75.27682016388121,0,0,0.051761995608509415,0.18299821837617714,133.76565210459376,75.27682016388121,0,0,0.051761995608509415,0.18299821837617714,133.76565210459376,75.27682016388121,0,0,0.051761995608509415,0.18299821837617714,133.76565210459376,75.27682016388121,0,0,0.051761995608509415,0.18299821837617714,133.76565210459376,75.27682016388121,0,0
0,spleen,I,9,0.8077208,4,0.10358381502890174,0.10358381502890174,174.04539636838666,174.04539636838666,0,0,0.10652173913043478,0.133310661452134,170.06822127595953,158.8584275384847,0,0,0.10758516587189955,0.1089910680151531,170.01396993315777,168.19542137109815,0,0,0.10867003950377711,0.17228875947698055,169.10839698204856,155.0545063008689,0,0,0.2119778288495336,0.20627507728737748,149.4131837123357,155.0290295396317,0,0,0.17984745082296266,0.20627507728737748,151.08821870375002,155.0290295396317,0,0,0.19265266003194495,0.20627507728737748,151.70496961926838,155.0290295396317,0,0,0.11000035076642464,0.20627507728737748,167.96276151094276,155.0290295396317,0,0,0.11000035076642464,0.20627507728737748,167.96276151094276,155.0290295396317,0,0,0.11000035076642464,0.20627507728737748,167.96276151094276,155.0290295396317,0,0,0.11000035076642464,0.20627507728737748,167.96276151094276,155.0290295396317,0,0,0.11000035076642464,0.20627507728737748,167.96276151094276,155.0290295396317,0,0
0,spleen,I,10,0.88841367,3,0.05602975030989906,0.05602975030989906,148.9758345714546,148.9758345714546,0,0,0.07480612823907698,0.08418923952956202,146.0256824618372,143.10205033403065,0,0,0.09379261279421355,0.1197396306388132,130.16085964222154,147.85465588848407,0,0,0.24948746254533985,0.12992772667542707,109.50340851554816,121.03222480331881,0,0,0.28586917238886883,0.12992772667542707,103.3733500974327,121.03222480331881,0,0,0.34006878761822873,0.12992772667542707,63.91985154069512,121.03222480331881,0,0,0.35447008738516694,0.12992772667542707,59.38377229256589,121.03222480331881,0,0,0.2839705618380901,0.12992772667542707,118.30720975288963,121.03222480331881,0,0,0.2839705618380901,0.12992772667542707,118.30720975288963,121.03222480331881,0,0,0.2839705618380901,0.12992772667542707,118.30720975288963,121.03222480331881,0,0,0.2662403231235274,0.12992772667542707,119.0466287573878,121.03222480331881,0,0,0.4297745177940777,0.12992772667542707,33.61398488843118,121.03222480331881,0,0
0,spleen,I,11,0.8155964308749885,4,0.13135307977112085,0.13135307977112085,120.94541088266548,120.94541088266548,0,0,0.1395120207346501,0.254400260756193,112.7674535475602,94.04786015641186,0,0,0.14902859325027448,0.48060344827586204,112.69871339105873,96.0,0,0,0.15494565487120948,0.57442502299908,112.55553814777477,30.870698080866262,0,0,0.15494565487120948,0.5188632208741898,112.55553814777477,38.94159939584683,0,0,0.17269609470074124,0.5188632208741898,116.9189888878459,38.94159939584683,0,0,0.15666399036531514,0.5188632208741898,119.34362119294612,38.94159939584683,0,0,0.1308411214953271,0.5188632208741898,140.08816827031373,38.94159939584683,0,0,0.1308411214953271,0.5188632208741898,140.08816827031373,38.94159939584683,0,0,0.1308411214953271,0.5188632208741898,140.08816827031373,38.94159939584683,0,0,0.1308411214953271,0.5188632208741898,140.08816827031373,38.94159939584683,0,0,0.1308411214953271,0.5188632208741898,140.08816827031373,38.94159939584683,0,0
