Organ,Baseline_ms,AdaFoB_ms,Speedup_Ratio,Mean_Allocated_Budget
aorta,257.367299860025,278.23662899997544,0.9249943143181473,2.7
gallbladder,257.64684768001644,311.7653474600047,0.8264127164198999,7.02
