key,dice
SPLEEN_fold0,0.8987439274787903
RK_fold0,0.8715603053569794
LK_fold0,0.8873635729153951
LIVER_fold0,0.8269124229749044
SPLEEN_fold1,0.6778869678576788
RK_fold1,0.6891128197312355
LK_fold1,0.6877757435043653
LIVER_fold1,0.8912006517251333
SPLEEN_fold2,0.92429319024086
RK_fold2,0.8210140665372213
LK_fold2,0.8126951654752096
LIVER_fold2,0.8634044925371805
SPLEEN_fold3,0.8110219240188599
RK_fold3,0.8710975547631582
LK_fold3,0.8552414278189341
LIVER_fold3,0.8163015643755595
SPLEEN_fold4,0.9171981712182363
RK_fold4,0.8570589224497477
LK_fold4,0.8531960646311442
LIVER_fold4,0.8969429930051168
