fold,organ,vol_id,spacing_x,spacing_y,spacing_z,fixed_np,dice_fixed_control,hd95_fixed_control
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,2,0.8788671023965141,91.02492840238182
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,2,0.8330261017736813,39.94905353164042
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_7.nii,1.27490234375,1.27490234375,3.0,2,0.07697603104074097,161.12707607343796
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_9.nii,1.3671875,1.3671875,3.0,2,0.8604730112028969,16.789980416391572
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_10.nii,1.1962890625,1.1962890625,3.0,2,0.9152464226316916,15.597701067135244
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_11.nii,1.343261480331421,1.343261480331421,5.0,2,0.9458681337476127,1.343261480331421
1,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,2,0.8879697896061859,76.2897488830796
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,6,0.9210539167178581,32.86426406963217
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_7.nii,1.27490234375,1.27490234375,3.0,6,0.9627473938661429,2.850768305298804
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_9.nii,1.3671875,1.3671875,3.0,6,0.9463286198750089,13.671875
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_10.nii,1.1962890625,1.1962890625,3.0,6,0.9564421842203864,9.110666069026648
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_11.nii,1.343261480331421,1.343261480331421,5.0,6,0.9574534604539067,2.686522960662842
1,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,6,0.8796572974466117,30.9326171875
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,3,0.9369408923769277,12.373046875
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,3,0.9668618828286196,1.6966419544681126
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,3,0.9626590069757899,1.363769769668579
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,3,0.8542550345829034,26.34689619443494
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,3,0.9126847174724688,54.404594418108
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,3,0.9639637822904273,1.53125
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,2,0.8730958963517103,96.2914889244999
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,2,0.9542034760269484,1.6966419544681126
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,2,0.8260182059062353,89.03853601760181
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,2,0.7540217955371044,119.97495571115628
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,2,0.9224512178403327,3.1182666717477536
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,2,0.8651599357786834,60.185147445504505
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,2,0.868534606754502,71.01631456988535
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,2,0.8614769690111002,67.9799631295621
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,2,0.9154716469817755,23.533121090444016
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,2,0.9187942588924763,3.837989468915768
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,2,0.9233056213180642,2.7890625
2,LK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,2,0.9207093821510297,29.634558057274955
2,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,6,0.8716336429595108,35.12465216847941
2,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,6,0.9647315764294777,4.529279819866013
2,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,6,0.956095786075231,4.091309309005737
2,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,6,0.9699840125716842,2.7138683795928955
2,LIVER,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,6,0.9268933652079482,11.15625
