fold,organ,vol_id,spacing_x,spacing_y,spacing_z,dice_baseline,hd95_baseline,dice_adafob_2d,hd95_adafob_2d,dice_lora_fob,hd95_lora_fob,dice_lora_ada,hd95_lora_ada
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_0.nii,1.1689453125,1.1689453125,3.0,0.950864036298276,3.0,0.9458285465681444,3.5068359375,0.9751323493087128,1.1689453125,0.975520204009426,1.1689453125
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_1.nii,1.26123046875,1.26123046875,3.0,0.92175687934684,5.044921875,0.9351612280363004,1.783649234184426,0.9512665251844784,1.26123046875,0.9498611030168812,1.26123046875
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_3.nii,1.0390625,1.0390625,3.0,0.8789260502256683,40.96511558863091,0.8333918847707711,238.19085696738435,0.8619191666477131,269.7266727480509,0.8646464186512454,276.9959358681716
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_4.nii,1.5859375,1.5859375,3.0,0.947670974821087,27.533497590053784,0.9518033522167728,25.49114129871145,0.9565572733729653,22.13009037834008,0.9538739123264816,23.285659188181143
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_5.nii,1.22705078125,1.22705078125,3.0,0.7066277571837948,33.75861524542514,0.7707994226221554,25.79726535772108,0.7376645486881708,41.7197265625,0.7311004784688995,44.24194509395022
0,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,0.8291404676336074,17.612249212598037,0.9043124671157332,8.806124606299019,0.9480484103202708,14.39990234375,0.9597598699732608,7.049622484339651
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_0.nii,1.1689453125,1.1689453125,3.0,0.8224048982368615,8.94731934536918,0.8064489862389056,8.793273405324443,0.927351245559172,9.023356172269455,0.9365345127152108,8.429384524864053
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_1.nii,1.26123046875,1.26123046875,3.0,0.9469435330685546,3.567298468368852,0.9260802127188124,4.547431125255607,0.9489528502631872,1.783649234184426,0.947906208865984,1.783649234184426
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_3.nii,1.0390625,1.0390625,3.0,0.9218163107795216,19.102931635492823,0.9181089618085468,17.683909776049443,0.9253655127929478,4.28416443911835,0.925798565403111,4.28416443911835
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_4.nii,1.5859375,1.5859375,3.0,0.8534674135168114,73.01946657005682,0.8363912777786058,83.0966800031088,0.8636088404480775,93.720886305204,0.8607392908228563,97.36741786912089
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_5.nii,1.22705078125,1.22705078125,3.0,0.8998490832610859,104.30968991833718,0.9037800687285223,13.71884479359612,0.6825811424167166,11.443685734983507,0.6893611763252193,18.06056721123992
0,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,0.8716945471425966,118.53903135910474,0.8775769278907186,90.56043935346608,0.9069427850789858,12.157687153725895,0.911886524822695,9.275231450425292
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,0.9401533473987548,17.468086285001164,0.8128853473412425,338.2079962031568,0.9326272983559116,17.75128076670041,0.9377043829752512,11.505915654436071
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_7.nii,1.27490234375,1.27490234375,3.0,0.7062347513104814,67.28054786702018,0.7146582539339278,53.53699399618902,0.651505621944895,321.5724219837282,0.7001892595221197,104.38085212291357
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_9.nii,1.3671875,1.3671875,3.0,0.3279116417333301,103.63633491949822,0.3983832298518473,85.18218239630835,0.4722979714000665,92.69475206699938,0.4788737213041842,92.8524111126113
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_10.nii,1.1962890625,1.1962890625,3.0,0.4274681046137589,55.43229779487277,0.5516351647451518,45.86883874622892,0.5341730814089106,44.05748812288185,0.5692806967095263,43.96783984794549
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_11.nii,1.343261480331421,1.343261480331421,5.0,0.9308687615526802,20.14892220497132,0.8328478091470359,388.4538114956912,0.9093596540519412,362.37094567903193,0.9066936624871932,379.8824192351175
1,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,0.8190173858476985,81.24912753283394,0.8149230574949036,85.80665044344384,0.7255091557382003,493.3360423064565,0.7130910749581876,502.13322514512095
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_6.nii,1.30908203125,1.30908203125,3.0,0.8705541976355564,27.822843975939072,0.907643085673658,3.92724609375,0.9259185194611594,3.70264312570534,0.9309929129831228,2.927196409998504
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_7.nii,1.27490234375,1.27490234375,3.0,0.3058951371909807,76.80911220667087,0.1298419438546827,149.87009386636083,0.0224748694087177,150.62715902707168,0.0343638379110727,153.53448438352814
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_9.nii,1.3671875,1.3671875,3.0,0.9068917961906892,11.423576843973006,0.8894888197664182,7.010437168090974,0.93215754990096,3.2968472303332845,0.9322320326592614,3.0571241879879936
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_10.nii,1.1962890625,1.1962890625,3.0,0.8659297052154195,4.78515625,0.7076360656770981,81.5364622962095,0.9418230516374768,2.392578125,0.9398238068812432,2.6749836644894947
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_11.nii,1.343261480331421,1.343261480331421,5.0,0.7361340949127209,86.9390069561985,0.805584736859941,5.373045921325684,0.9414668332368444,1.343261480331421,0.9447083181098528,1.343261480331421
1,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,0.899942363112392,2.7666973901291345,0.798689409270502,3.499626139700608,0.8793225894564327,94.08822546574308,0.9114674496075884,4.94921875
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,0.9326224124571048,39.94635982472189,0.9402766293317296,2.474609375,0.94499003175072,12.373046875,0.9461761608248184,9.8984375
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,0.9398237034994112,3.59912109375,0.9477362309577074,2.6826264749594646,0.965803911714202,1.6966419544681126,0.9654573240940398,1.6966419544681126
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,0.9403867668211604,2.727539539337158,0.9529491894837216,1.363769769668579,0.9640428656911276,1.363769769668579,0.9639039251421266,1.363769769668579
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,0.8371507676818525,41.20256429634369,0.8679439678231063,25.01015162013576,0.8710492079283692,26.25274321933488,0.868000762340385,27.76174544499336
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,0.8493359523879328,34.25851482773306,0.9151030550157688,21.28659568563722,0.9191247619939446,38.009056942315326,0.9134302179904786,37.0235660870314
2,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,0.949950386981544,3.0,0.9472684477846142,2.165514517383802,0.9622973784270562,1.53125,0.9634200088144556,1.53125
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_12.nii,1.2373046875,1.2373046875,5.0,0.9025368664896322,4.94921875,0.8853568199714194,4.324049363640615,0.6808250379618694,99.7643414356612,0.6551416281146011,107.3703042762893
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_13.nii,1.19970703125,1.19970703125,3.0,0.9124713388495664,5.785157589393888,0.8709239130434783,4.3256052167065535,0.9528691217832452,1.6966419544681126,0.9541680942466332,1.6966419544681126
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_15.nii,1.363769769668579,1.363769769668579,5.0,0.8804117195611936,8.182618618011475,0.8614219803620017,6.818848848342896,0.9444025034702774,1.363769769668579,0.944133261896644,1.363769769668579
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_16.nii,1.3569341897964478,1.3569341897964478,5.0,0.7631152077250434,107.26430130085298,0.697542204087947,110.92055166794086,0.7563821355501078,120.80219626894376,0.7562284470835562,120.72053621349497
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_17.nii,1.39453125,1.39453125,5.0,0.8686920045760773,5.916495020709315,0.8502612237669352,5.028053927111891,0.9199456029011784,2.7890625,0.9202197702402034,3.1182666717477536
2,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,0.8186148091354755,45.3137081580273,0.7687565256301895,43.9878212987971,0.8650513913879372,60.03840730367937,0.8655106735597496,59.93625548422439
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,0.9430220335957796,12.93619395558201,0.8668563726224352,15.3125,0.9605132668137384,13.78125,0.960304293286934,13.78125
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_19.nii,1.298828125,1.298828125,3.0,0.9483211471569531,9.202534157350163,0.9306445036098918,7.79296875,0.9349571057292028,293.2186238240852,0.931190154412399,291.6448115058839
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_21.nii,1.29541015625,1.29541015625,3.0,0.5353342659714274,69.5151177154204,0.4352840044964623,74.34935983955602,0.719695136704573,344.1649474810605,0.7658799838904551,349.3858881096925
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_22.nii,1.425292730331421,1.425292730331421,5.0,0.8181007383580671,130.31219825169347,0.7275244899462326,151.62797124414888,0.8767704535946931,608.7308308657422,0.8808394682564774,610.0333017035567
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_23.nii,1.17578125,1.17578125,5.0,0.9281275763206144,4.847870286370765,0.8895994700366898,4.703125,0.9638175636065188,2.3515625,0.9555138793434832,360.01507235333173
3,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_24.nii,1.609863519668579,1.609863519668579,5.0,0.9605461257656692,1.609863519668579,0.9635659396424948,1.609863519668579,0.965627864344638,1.609863519668579,0.9653605669028762,1.609863519668579
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_18.nii,1.53125,1.53125,3.0,0.8292946369869447,40.95279782171717,0.8235999232834675,46.12043718962885,0.8683390307661372,59.50680640766214,0.8680553810588738,59.88656168862235
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_19.nii,1.298828125,1.298828125,3.0,0.8881767622232285,22.79491543207968,0.8851457890126392,10.144171942339698,0.947564839513594,3.896484375,0.9481691270457906,3.517656747976134
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_21.nii,1.29541015625,1.29541015625,3.0,0.9162744165450282,10.36328125,0.8961189550508151,5.987436811077875,0.9408902198325734,2.5908203125,0.941064282673478,2.5908203125
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_22.nii,1.425292730331421,1.425292730331421,5.0,0.9058585222914904,66.67198955057911,0.9015071283095722,6.374102865714667,0.9118729340346354,5.138966021756007,0.914451688398529,4.031336619172948
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_23.nii,1.17578125,1.17578125,5.0,0.9081542384347192,3.52734375,0.8494176837789994,4.703125,0.9265591397849462,2.3515625,0.925344199321474,2.3515625
3,RK,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_24.nii,1.609863519668579,1.609863519668579,5.0,0.8764466437864156,40.86457720887683,0.8422304327515182,34.52085436197908,0.9082701784900816,37.92999306749018,0.9066081847146936,36.88739286182494
4,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_0.nii,1.1689453125,1.1689453125,3.0,0.964750957854406,1.653138314609956,0.9720344457838548,1.1689453125,0.976369673860241,1.1689453125,0.9761869900302156,1.1689453125
4,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_24.nii,1.609863519668579,1.609863519668579,5.0,0.9478735184349752,3.5997642644760126,0.9506050720825002,3.219727039337158,0.96714395561005,1.609863519668579,0.9661886100225132,1.609863519668579
4,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_26.nii,1.23046875,1.23046875,5.0,0.9180678059536936,11.673251518980932,0.932380935500452,2.751411769189194,0.9397935581869024,11.07421875,0.9515224568942928,1.23046875
4,SPLEEN,/kaggle/input/datasets/nhatphatnguyen/adafob-env/sabs_CT_normalized/image_27.nii,1.7089835405349731,1.7089835405349731,5.0,0.789880452716589,105.81876203138836,0.910783476718986,53.22598988806943,0.9412491844933558,27.82023645805612,0.9419006516618236,27.051639276027384
